Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
22095,,P,van Lent,"Department of Experimental Rheumatology, Radboud University Medical Center, 6500 MD Nijmegen, The Netherlands.",The Netherlands,Radboud University Medical Center
22096,,F,van de Loo,"Department of Experimental Rheumatology, Radboud University Medical Center, 6500 MD Nijmegen, The Netherlands.",The Netherlands,Radboud University Medical Center
22097,,A,van Caam,"Department of Experimental Rheumatology, Radboud University Medical Center, 6500 MD Nijmegen, The Netherlands.",The Netherlands,Radboud University Medical Center
22098,,P,van der Kraan,"Department of Experimental Rheumatology, Radboud University Medical Center, 6500 MD Nijmegen, The Netherlands.",The Netherlands,Radboud University Medical Center
22099,,T,Nguyen-Tien,"International Livestock Research Institute (ILRI), Hanoi 10000, Vietnam.",Vietnam,International Livestock Research Institute (ILRI)
22100,,AN,Bui,"National Institute of Veterinary Research, Hanoi 10000, Vietnam.",Vietnam,National Institute of Veterinary Research
22101,,J,Ling,"Zoonosis Science Center, Department of Medical Biochemistry and Microbiology, Uppsala University, 75237 Uppsala, Sweden.",Sweden,Uppsala University
22102,,S,Tran-Hai,"National Institute of Hygiene and Epidemiology, Hanoi 10000, Vietnam.",Vietnam,National Institute of Hygiene and Epidemiology
22103,,L,Pham-Thanh,"Department of Animal Health, Ministry of Agriculture and Rural Development, Hanoi 10000, Vietnam.",Vietnam,Unparsed
22104,,VN,Bui,"National Institute of Veterinary Research, Hanoi 10000, Vietnam.",Vietnam,National Institute of Veterinary Research
22105,,TD,Dao,"National Institute of Veterinary Research, Hanoi 10000, Vietnam.",Vietnam,National Institute of Veterinary Research
22106,,TT,Hoang,"National Institute of Veterinary Research, Hanoi 10000, Vietnam.",Vietnam,National Institute of Veterinary Research
22107,,LT,Vu,"National Institute of Hygiene and Epidemiology, Hanoi 10000, Vietnam.",Vietnam,National Institute of Hygiene and Epidemiology
22108,,PV,Tran,"National Institute of Hygiene and Epidemiology, Hanoi 10000, Vietnam.",Vietnam,National Institute of Hygiene and Epidemiology
22109,,DT,Vu,"National Institute of Hygiene and Epidemiology, Hanoi 10000, Vietnam.",Vietnam,National Institute of Hygiene and Epidemiology
22110,,Å,Lundkvist,"Zoonosis Science Center, Department of Medical Biochemistry and Microbiology, Uppsala University, 75237 Uppsala, Sweden.",Sweden,Uppsala University
22111,,H,Nguyen-Viet,"International Livestock Research Institute (ILRI), Hanoi 10000, Vietnam.",Vietnam,International Livestock Research Institute (ILRI)
22112,,U,Magnusson,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 75007 Uppsala, Sweden.",Sweden,Swedish University of Agricultural Sciences
22113,,JF,Lindahl,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 75007 Uppsala, Sweden.",Sweden,Swedish University of Agricultural Sciences
22114,,AK,Heymann,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22115,,K,Schnabel,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22116,,F,Billenkamp,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22117,,S,Bühler,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22118,,J,Frahm,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22119,,S,Kersten,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22120,,L,Hüther,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22121,,U,Meyer,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22122,,D,von Soosten,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22123,,N,Trakooljul,"Institute of Genome Biology, Leibniz Institute for Farm Animal Biology (FBN), Dummerstorf, Germany.",Germany,Institute of Genome Biology
22124,,JP,Teifke,"Department of Experimental Animal Facilities and Biorisk Management, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Greifswald-Insel Riems, Germany.",Germany,Friedrich-Loeffler-Institut (FLI)
22125,,S,Dänicke,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22126,,AK,Heymann,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22127,,K,Schnabel,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22128,,F,Billenkamp,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22129,,S,Bühler,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22130,,J,Frahm,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22131,,S,Kersten,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22132,,U,Meyer,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22133,,D,von Soosten,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22134,,S,Dänicke,"Institute of Animal Nutrition, Friedrich-Loeffler-Institut (FLI), Federal Research Institute for Animal Health, 38116 Braunschweig, Germany.",Germany,Institute of Animal Nutrition
22135,,X,Zheng,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22136,,B,Zhang,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22137,,Y,Zhang,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22138,,H,Zhong,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22139,,R,Nie,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22140,,J,Li,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22141,,H,Zhang,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China. zhanghao827@163.com.",China,China Agricultural University
22142,,C,Wu,"National Engineering Laboratory for Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, 100193, China.",China,China Agricultural University
22143,,DA,Hartman,"Department of Microbiology, Immunology, and Pathology, Colorado State University, Fort Collins, Colorado, United States of America.",United States of America,Colorado State University
22144,,,Bergren,"Department of Microbiology, Immunology, and Pathology, Colorado State University, Fort Collins, Colorado, United States of America.",United States of America,Colorado State University
22145,,T,Kondash,"Department of Environmental and Radiological Health Sciences, Colorado State University, Fort Collins, Colorado, United States of America.",United States of America,Colorado State University
22146,,W,Schlatmann,"Vector Disease Control International, Loveland, Colorado, United States of America.",United States of America,Unparsed
22147,,CT,Webb,"Department of Biology, Colorado State University, Fort Collins, Colorado, United States of America.",United States of America,Colorado State University
22148,,RC,Kading,"Department of Microbiology, Immunology, and Pathology, Colorado State University, Fort Collins, Colorado, United States of America.",United States of America,Colorado State University
22149,,BOS,Duran,"Department of Structural and Functional Biology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, São Paulo, Brazil.",Brazil,São Paulo State University (UNESP)
22150,,D,Garcia de la Serrana,"Department of Cell Biology, Physiology and Immunology, Faculty of Biology, University of Barcelona, Barcelona, Spain.",Spain,University of Barcelona
22151,,BTT,Zanella,"Department of Structural and Functional Biology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, São Paulo, Brazil.",Brazil,São Paulo State University (UNESP)
22152,,ES,Perez,"Department of Structural and Functional Biology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, São Paulo, Brazil.",Brazil,São Paulo State University (UNESP)
