Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,TF,Wang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
1,,ZQ,Feng,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
2,,YW,Sun,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
3,,SJ,Zhao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
4,,HY,Zou,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
5,,HS,Hao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
6,,WH,Du,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
7,,XM,Zhao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
8,,HB,Zhu,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
9,,YW,Pang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Science
10,,W,Wang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
11,,H,Zou,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
12,,N,Chen,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
13,,Y,Tian,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
14,,H,Hao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
15,,Y,Pang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
16,,X,Zhao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
17,,H,Zhu,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
18,,D,Yu,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
19,,W,Du,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
20,,X,Xu,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
21,,T,Hao,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
22,,E,Komba,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
23,,B,Yang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
24,,H,Hao,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
25,,W,Du,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
26,,H,Zhu,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
27,,H,Zhang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
28,,X,Zhao,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
29,,P,Zhang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
30,,B,Yang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
31,,X,Xu,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
32,,H,Zhang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
33,,X,Feng,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
