Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,Q,Zhang,"Jiangsu Academy of Agricultural Sciences, Nanjing, Jiangsu, China.",China,Jiangsu Academy of Agricultural Sciences
1,,Y,Zhang,"Jiangsu Academy of Agricultural Sciences, Nanjing, Jiangsu, China.",China,Jiangsu Academy of Agricultural Sciences
2,,Y,Chai,"Jiangsu Academy of Agricultural Sciences, Nanjing, Jiangsu, China.",China,Jiangsu Academy of Agricultural Sciences
3,,H,Ahmed,"Institute of Cotton Research, Chinese Academy of Agricultural Sciences, State Key Laboratory of Cotton Biology, Anyang, Henan 455000, China.",China,Institute of Cotton Research
4,,MF,Nazir,"Institute of Cotton Research, Chinese Academy of Agricultural Sciences, State Key Laboratory of Cotton Biology, Anyang, Henan 455000, China.",China,Institute of Cotton Research
5,,Z,Pan,"Institute of Cotton Research, Chinese Academy of Agricultural Sciences, State Key Laboratory of Cotton Biology, Anyang, Henan 455000, China.",China,Institute of Cotton Research
6,,W,Gong,"Key Laboratory of Cultivation and Protection for Non-Wood Forest Trees, Ministry of Education, Central South University of Forestry and Technology, Changsha 410004, China.",China,Central South University of Forestry and Technology
7,,MS,Iqbal,"Cotton Research Station, Ayub Agriculture Research Institute, Faisalabad 38000, Pakistan.",Pakistan,Ayub Agriculture Research Institute
8,,S,He,"Institute of Cotton Research, Chinese Academy of Agricultural Sciences, State Key Laboratory of Cotton Biology, Anyang, Henan 455000, China.",China,Institute of Cotton Research
9,,X,Du,"Zhengzhou Research Base, State Key Laboratory of Cotton Biology, Zhengzhou University, Zhengzhou 450001, China.",China,Zhengzhou University
10,,L,Reang,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
11,,S,Bhatt,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India. sbbhatt@jau.in.",India,Junagadh Agricultural University
12,,RS,Tomar,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
13,,K,Joshi,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
14,,S,Padhiyar,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
15,,UM,Vyas,"Main Oilseed Research Station, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
16,,JK,Kheni,"Department of Biotechnology, Junagadh Agricultural University, Junagadh, Gujarat, India.",India,Junagadh Agricultural University
