Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
20193,,J,Wang,"Department of Pharmacology and Toxicology, College of Pharmacy, The University of Arizona, Tucson, AZ, USA.",USA,The University of Arizona
20194,,H,Marti,"Institute of Veterinary Pathology, University of Zurich , Zurich, Switzerland.",Switzerland,University of Zurich 
20195,,M,Biggel,"Institute for Food Safety and Hygiene, University of Zurich , Zurich, Switzerland.",Switzerland,University of Zurich 
20196,,K,Shima,"Department of Infectious Diseases and Microbiology, University of Lübeck , Lübeck, Germany.",Germany,University of Lübeck 
20197,,D,Onorini,"Institute of Veterinary Pathology, University of Zurich , Zurich, Switzerland.",Switzerland,University of Zurich 
20198,,J,Rupp,"Department of Infectious Diseases and Microbiology, University of Lübeck , Lübeck, Germany.",Germany,University of Lübeck 
20199,,SJ,Charette,"Centre de Recherche de l'Institut Universitaire de Cardiologie et de Pneumologie de Québec , Quebec City, Canada.",Canada,Centre de Recherche de l'Institut Universitaire de Cardiologie et de Pneumologie de Québec 
20200,,N,Borel,"Institute of Veterinary Pathology, University of Zurich , Zurich, Switzerland.",Switzerland,University of Zurich 
20201,,D,Abu Sammour,"Mannheim Center for Translational Neuroscience (MCTN), Medical Faculty Mannheim, Heidelberg University, Mannheim, Germany.",Germany,Heidelberg University
20202,,JL,Cairns,"Medical Faculty Heidelberg, Heidelberg University, Heidelberg, Germany.",Germany,Heidelberg University
20203,,T,Boskamp,"Center for Industrial Mathematics, University of Bremen, Bremen, Germany.",Germany,University of Bremen
20204,,C,Marsching,"Bruker Daltonics GmbH & Co. KG, Bremen, Germany.",Germany,Unparsed
20205,,T,Kessler,"DKTK Metabolic Crosstalk in Cancer, German Consortium of Translational Cancer Research (DKTK), German Cancer Research Center (DKFZ), Heidelberg, Germany.",Germany,Unparsed
20206,,C,Ramallo Guevara,"Center for Mass Spectrometry and Optical Spectroscopy (CeMOS), Mannheim University of Applied Sciences, Mannheim, Germany.",Germany,Mannheim University of Applied Sciences
20207,,V,Panitz,"Department of Neurology and National Center for Tumor Diseases, Heidelberg University Hospital, Heidelberg, Germany.",Germany,Heidelberg University Hospital
20208,,A,Sadik,"Faculty of Bioscience, Heidelberg University, Heidelberg, Germany.",Germany,Heidelberg University
20209,,J,Cordes,"Faculty of Computer Science, Mannheim University of Applied Sciences, Mannheim, Germany.",Germany,Mannheim University of Applied Sciences
20210,,S,Schmidt,"Center for Mass Spectrometry and Optical Spectroscopy (CeMOS), Mannheim University of Applied Sciences, Mannheim, Germany.",Germany,Mannheim University of Applied Sciences
20211,,SA,Mohammed,"Mannheim Center for Translational Neuroscience (MCTN), Medical Faculty Mannheim, Heidelberg University, Mannheim, Germany.",Germany,Heidelberg University
20212,,MF,Rittel,"Mannheim Center for Translational Neuroscience (MCTN), Medical Faculty Mannheim, Heidelberg University, Mannheim, Germany.",Germany,Heidelberg University
20213,,M,Friedrich,"DKTK Clinical Cooperation Unit Neuroimmunology and Brain Tumor Immunology, German Cancer Research Center (DKFZ), Heidelberg, Germany.",Germany,Unparsed
20214,,M,Platten,"DKTK Clinical Cooperation Unit Neuroimmunology and Brain Tumor Immunology, German Cancer Research Center (DKFZ), Heidelberg, Germany.",Germany,Unparsed
20215,,I,Wolf,"Faculty of Computer Science, Mannheim University of Applied Sciences, Mannheim, Germany.",Germany,Mannheim University of Applied Sciences
20216,,A,von Deimling,"DKTK Clinical Cooperation Unit Neuropathology, German Cancer Research Center (DKFZ), Heidelberg, Germany.",Germany,Unparsed
20217,,CA,Opitz,"Department of Neurology and National Center for Tumor Diseases, Heidelberg University Hospital, Heidelberg, Germany.",Germany,Heidelberg University Hospital
20218,,W,Wick,"DKTK Metabolic Crosstalk in Cancer, German Consortium of Translational Cancer Research (DKTK), German Cancer Research Center (DKFZ), Heidelberg, Germany.",Germany,Unparsed
20219,,C,Hopf,"Medical Faculty Heidelberg, Heidelberg University, Heidelberg, Germany. c.hopf@hs-mannheim.de.",Germany,Heidelberg University
20220,,MD,Cheung,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20221,,R,Asiimwe,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20222,,EN,Erman,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20223,,CF,Fucile,"Informatics Institute, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20224,,S,Liu,"Flow Cytometry & Single Cell Core Facility, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20225,,CW,Sun,"Flow Cytometry & Single Cell Core Facility, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20226,,VS,Hanumanthu,"Flow Cytometry & Single Cell Core Facility, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20227,,HC,Pal,"Flow Cytometry & Single Cell Core Facility, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20228,,ED,Wright,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20229,,G,Ghajar-Rahimi,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20230,,D,Epstein,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20231,,BJ,Orandi,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20232,,V,Kumar,"Department of Medicine, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20233,,DJ,Anderson,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20234,,ME,Greene,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20235,,M,Bell,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20236,,S,Yates,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20237,,KH,Moore,"Department of Medicine, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20238,,J,LaFontaine,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20239,,JT,Killian,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20240,,G,Baker,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20241,,J,Perry,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20242,,Z,Khan,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20243,,R,Reed,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20244,,SC,Little,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20245,,AF,Rosenberg,"Department of Microbiology, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20246,,JF,George,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20247,,JE,Locke,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
20248,,PM,Porrett,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA. pmporrett@uabmc.edu.",USA,University of Alabama at Birmingham
20249,,MD,Cheung,"Department of Surgery, University of Alabama at Birmingham, Birmingham, AL, USA.",USA,University of Alabama at Birmingham
