Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
19583,,F,Yang,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19584,,X,He,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19585,,T,Chen,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19586,,J,Liu,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19587,,Z,Luo,"College of Food Science, Tibet Agriculture & Animal Husbandry University, Lingzhi, 860000 Tibet, China.",China,Tibet Agriculture & Animal Husbandry University
19588,,S,Sun,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19589,,D,Qin,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19590,,W,Huang,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19591,,Y,Tang,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19592,,C,Liu,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19593,,F,Luo,"Hunan Provincial Key Laboratory of Deeply Processing and Quality Control of Cereals and Oils, College of Food Science and Engineering, Central South University of Forestry and Technology, Changsha, 410004 Hunan, China.",China,Central South University of Forestry and Technology
19594,,R,Zrieq,"Department of Public Health, College of Public Health and Health Informatics, University of Ha'il, Ha'il 81451, Saudi Arabia.",Saudi Arabia,University of Ha'il
19595,,I,Ahmad,"Division of Computer Aided Drug Design, Department of Pharmaceutical Chemistry, R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur, Maharashtra 425405, India.",India,R. C. Patel Institute of Pharmaceutical Education and Research
19596,,M,Snoussi,"Laboratory of Genetics, Biodiversity and Valorization of Bio-Resources (LR11ES41), University of Monastir, Higher Institute of Biotechnology of Monastir, Avenue Tahar Haddad, BP74, Monastir 5000, Tunisia.",Tunisia,University of Monastir
19597,,E,Noumi,"Laboratory of Bioresources: Integrative Biology and Valorization, (LR14-ES06), University of Monastir, Higher Institute of Biotechnology of Monastir, Avenue Tahar Haddad, BP74, Monastir 5000, Tunisia.",Tunisia,University of Monastir
19598,,M,Iriti,"BAT Center-Interuniversity Center for Studies on Bioispired Agro-Environmental Technology, University of Napoli ""Federico II"", Portici, 80055 Napoli, Italy.",Italy,BAT Center-Interuniversity Center for Studies on Bioispired Agro-Environmental Technology
19599,,FD,Algahtani,"Molecular Diagnostic and Personalized Therapeutics Unit, University of Ha'il, Ha'il 81451, Saudi Arabia.",Saudi Arabia,University of Ha'il
19600,,H,Patel,"Division of Computer Aided Drug Design, Department of Pharmaceutical Chemistry, R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur, Maharashtra 425405, India.",India,R. C. Patel Institute of Pharmaceutical Education and Research
19601,,M,Saeed,"Department of Biology, College of Science, University of Ha'il City, P.O. 2440, Ha'il 2440, Saudi Arabia.",Saudi Arabia,University of Ha'il City
19602,,M,Tasleem,"School of Electronic Science and Engineering, University of Electronic Science and Technology of China, Chengdu 610054, China.",China,University of Electronic Science and Technology of China
19603,,S,Sulaiman,"Department of Clinical Laboratory Sciences, Faculty of Applied Medical Sciences, University of Ha'il, Ha'il 81451, Saudi Arabia.",Saudi Arabia,University of Ha'il
19604,,K,Aouadi,"Faculty of Science of Monastir, University of Monastir, Avenue of the Environment, Monastir 5019, Tunisia.",Tunisia,University of Monastir
19605,,A,Kadri,"Faculty of Science of Sfax, Department of Chemistry, University of Sfax, B.P. 1171, Sfax 3000, Tunisia.",Tunisia,University of Sfax
19606,,LE,Monfoulet,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19607,,C,Buffière,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19608,,G,Istas,"Department of Nutritional Sciences, School of Life Course Sciences, Faculty of Life Sciences and Medicine, King's College, London, UK.",UK,King's College
19609,,C,Dufour,"INRAE, Université d'Avignon, UMR408, Sécurité et Qualité des Produits d'Origine Végétale (SQPOV), Avignon, 84000, France.",France,Université d'Avignon
19610,,C,Le Bourvellec,"INRAE, Université d'Avignon, UMR408, Sécurité et Qualité des Produits d'Origine Végétale (SQPOV), Avignon, 84000, France.",France,Université d'Avignon
19611,,S,Mercier,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19612,,D,Bayle,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19613,,C,Boby,"INRAE, Unité Mixte de Recherches sur les Herbivores, Clermont-Ferrand, France.",France,Unparsed
19614,,D,Remond,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19615,,P,Borel,"C2VN, INRAE, INSERM, Aix Marseille Université, F-13005, France.",France,Aix Marseille Université
19616,,A,Rodriguez-Mateos,"Department of Nutritional Sciences, School of Life Course Sciences, Faculty of Life Sciences and Medicine, King's College, London, UK.",UK,King's College
19617,,D,Milenkovic,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19618,,C,Morand,"Université Clermont Auvergne, INRAE, UNH, Clermont-Ferrand, France. christine.morand@inrae.fr.",France,Université Clermont Auvergne
19619,,DE,Fullenkamp,"Division of Cardiology, Department of Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19620,,AB,Willis,"Center for Genetic Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19621,,JL,Curtin,"Center for Genetic Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19622,,AP,Amaral,"Division of Cardiology, Department of Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19623,,KT,Dittloff,"Department of Physiology and Biophysics, University of Illinois at Chicago, Chicago, IL 60612, USA.",USA,University of Illinois at Chicago
19624,,SI,Harris,"Center for Genetic Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19625,,IA,Chychula,"Center for Genetic Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19626,,CW,Holgren,"Center for Genetic Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
19627,,PW,Burridge,"Department of Pharmacology, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",USA,Northwestern University
