Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,A,Ragusa,"Department of Obstetrics and Gynecology, Università Campus Bio Medico di Roma, Via Álvaro del Portillo, 21, 00128 Rome, Italy.",Italy,Università Campus Bio Medico di Roma
1,,M,Matta,"Department of Clinico-Surgical, Diagnostic and Pediatric Sciences, Faculty of Medicine and Surgery, University of Pavia, Via Alessandro Brambilla, 74, 27100 Pavia, Italy.",Italy,University of Pavia
2,,L,Cristiano,"Department of Life, Health and Environmental Sciences, University of L'Aquila, Via Vetoio, Loc. Coppito, 67010 Coppito, Italy.",Italy,University of L'Aquila
3,,R,Matassa,"Department of Anatomy, Histology, Forensic Medicine and Orthopaedics, Sapienza University, Via A. Borelli, 50, 00161 Rome, Italy.",Italy,Sapienza University
4,,E,Battaglione,"Department of Anatomy, Histology, Forensic Medicine and Orthopaedics, Sapienza University, Via A. Borelli, 50, 00161 Rome, Italy.",Italy,Sapienza University
5,,A,Svelato,"Department of Gynecology and Obstetrics of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
6,,C,De Luca,"Department of Gynecology and Obstetrics of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
7,,S,D'Avino,"Department of Gynecology and Obstetrics of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
8,,A,Gulotta,"Department of Gynecology and Obstetrics of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
9,,MCA,Rongioletti,"Department of Pathological Anatomy of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
10,,P,Catalano,"Department of Pathological Anatomy of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
11,,C,Santacroce,"Department of Pathological Anatomy of ""San Giovanni Calibita"" Fatebenefratelli Hospital, Isola Tiberina of Rome, Via di Ponte Quattro Capi, 39, 00186 Rome, Italy.",Italy,Unparsed
12,,V,Notarstefano,"Department of Life and Environmental Sciences, Università Politecnica delle Marche, Polo Montedago Via Brecce Bianche, 60131 Ancona, Italy.",Italy,Università Politecnica delle Marche
13,,O,Carnevali,"Department of Life and Environmental Sciences, Università Politecnica delle Marche, Polo Montedago Via Brecce Bianche, 60131 Ancona, Italy.",Italy,Università Politecnica delle Marche
14,,E,Giorgini,"Department of Life and Environmental Sciences, Università Politecnica delle Marche, Polo Montedago Via Brecce Bianche, 60131 Ancona, Italy.",Italy,Università Politecnica delle Marche
15,,E,Vizza,"Gynecologic Oncology Unit, Department of Experimental Clinical Oncology, IRCCS Regina Elena National Cancer Institute, Via Elio Chianesi, 53, 00144 Rome, Italy.",Italy,IRCCS Regina Elena National Cancer Institute
16,,G,Familiari,"Department of Anatomy, Histology, Forensic Medicine and Orthopaedics, Sapienza University, Via A. Borelli, 50, 00161 Rome, Italy.",Italy,Sapienza University
17,,SA,Nottola,"Department of Anatomy, Histology, Forensic Medicine and Orthopaedics, Sapienza University, Via A. Borelli, 50, 00161 Rome, Italy.",Italy,Sapienza University
18,,A,Pierzgalski,"Department of Food Safety and Chemical Analysis, Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute, Rakowiecka 36, 02-532 Warsaw, Poland.",Poland,Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute
19,,M,Bryła,"Department of Food Safety and Chemical Analysis, Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute, Rakowiecka 36, 02-532 Warsaw, Poland.",Poland,Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute
20,,J,Kanabus,"Department of Food Safety and Chemical Analysis, Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute, Rakowiecka 36, 02-532 Warsaw, Poland.",Poland,Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute
21,,M,Modrzewska,"Department of Food Safety and Chemical Analysis, Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute, Rakowiecka 36, 02-532 Warsaw, Poland.",Poland,Prof. Waclaw Dabrowski Institute of Agricultural and Food Biotechnology-State Research Institute
22,,G,Podolska,"Department of Cereal Crop Production, Institute of Soil Science and Plant Cultivation-State Research Institute, Czartoryskich 8, 24-100 Puławy, Poland.",Poland,Institute of Soil Science and Plant Cultivation-State Research Institute
23,,S,Capellero,"Department of Oncology, University of Torino, 10129 Torino, Italy.",Italy,University of Torino
24,,J,Erriquez,"Candiolo Cancer Institute, FPO-IRCCS, 10060 Candiolo, Italy.",Italy,Candiolo Cancer Institute
25,,C,Battistini,"Unit of Gynaecological Oncology Research, European Institute of Oncology, IRCCS, 20100 Milan, Italy.",Italy,European Institute of Oncology
26,,R,Porporato,"Candiolo Cancer Institute, FPO-IRCCS, 10060 Candiolo, Italy.",Italy,Candiolo Cancer Institute
27,,G,Scotto,"Department of Oncology, University of Torino, 10129 Torino, Italy.",Italy,University of Torino
28,,F,Borella,"Gynecology and Obstetrics 1, Department of Surgical Sciences, City of Health and Science, University of Turin, 10100 Turin, Italy.",Italy,University of Turin
29,,MF,Di Renzo,"Department of Oncology, University of Torino, 10129 Torino, Italy.",Italy,University of Torino
30,,G,Valabrega,"Department of Oncology, University of Torino, 10129 Torino, Italy.",Italy,University of Torino
31,,M,Olivero,"Department of Oncology, University of Torino, 10129 Torino, Italy.",Italy,University of Torino
32,,D,Mouzo,"Department of Zoology, Genetics and Physical Anthropology, University of Santiago de Compostela, 15782 Santiago de Compostela, Spain.",Spain,University of Santiago de Compostela
33,,R,Rodríguez-Vázquez,"Department of Zoology, Genetics and Physical Anthropology, University of Santiago de Compostela, 15782 Santiago de Compostela, Spain.",Spain,University of Santiago de Compostela
34,,C,Barrio,"Meat Technology Center of Galicia, 32900 San Cibrao das Viñas, Spain.",Spain,Unparsed
35,,L,García,"Meat Technology Center of Galicia, 32900 San Cibrao das Viñas, Spain.",Spain,Unparsed
36,,C,Zapata,"Department of Zoology, Genetics and Physical Anthropology, University of Santiago de Compostela, 15782 Santiago de Compostela, Spain.",Spain,University of Santiago de Compostela
37,,M,Schmidhauser,"Institute of Reproductive Biology, Research Institute for Farm Animal Biology (FBN), Dummerstorf, Germany.",Germany,Institute of Reproductive Biology
38,,SE,Ulbrich,"Animal Physiology, Institute of Agricultural Sciences, ETH Zurich, Zurich, Switzerland.",Switzerland,Institute of Agricultural Sciences
39,,J,Schoen,"Reproduction Biology Department, Leibniz Institute for Zoo and Wildlife Research IZW, Berlin, Germany. schoen@izw-berlin.de.",Germany,Leibniz Institute for Zoo and Wildlife Research IZW
40,,Y,Xiong,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
41,,R,Zhuang,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
42,,G,Zhao,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
43,,Y,Liu,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
44,,Y,Su,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
45,,W,Wang,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
46,,X,Xi,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
47,,Y,Yang,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
48,,X,Han,"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of Ministry of Education & Key Lab of Swine Genetics and Breeding of Ministry of Agriculture and Rural Affairs, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
49,,S,Xie,"The Cooperative Innovation Center for Sustainable Pig Production-Swine Breeding and Reproduction Innovation Platform, Huazhong Agricultural University, Wuhan 430070, China.",China,Huazhong Agricultural University
