Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,A,Pandey,"Department of Soil Science and Plant Nutrition, Faculty of Agriculture, Selcuk University, Konya, Turkey.",Turkey,Selcuk University
1,,MK,Khan,"Department of Soil Science and Plant Nutrition, Faculty of Agriculture, Selcuk University, Konya, Turkey.",Turkey,Selcuk University
2,,M,Hamurcu,"Department of Soil Science and Plant Nutrition, Faculty of Agriculture, Selcuk University, Konya, Turkey.",Turkey,Selcuk University
3,,S,Gezgin,"Department of Soil Science and Plant Nutrition, Faculty of Agriculture, Selcuk University, Konya, Turkey.",Turkey,Selcuk University
4,,L,Antonova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
5,,A,Kutikhin,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
6,,V,Sevostianova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
7,,A,Lobov,"Department of Regenerative Biomedicine, Research Institute of Cytology, 4 Tikhoretskiy Prospekt, Saint Petersburg 194064, Russia.",Russia,Research Institute of Cytology
8,,E,Repkin,"Centre for Molecular and Cell Technologies, Saint Petersburg State University, Universitetskaya Embankment, 7/9, Saint Petersburg 199034, Russia.",Russia,Saint Petersburg State University
9,,E,Krivkina,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
10,,E,Velikanova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
11,,A,Mironov,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
12,,R,Mukhamadiyarov,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
13,,E,Senokosova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
14,,M,Khanova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
15,,D,Shishkova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
16,,V,Markova,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
17,,L,Barbarash,"Department of Experimental Medicine, Research Institute for Complex Issues of Cardiovascular Diseases, 6 Sosnovy Boulevard, Kemerovo 650002, Russia.",Russia,Research Institute for Complex Issues of Cardiovascular Diseases
18,,M,Daniel,"Service de Médecine d'Urgences-SAMU-SMUR, CHU de La Réunion, 97400 Saint-Denis, France.",France,Unparsed
19,,Y,Bedoui,"Laboratoire d'Immunologie Clinique et Expérimentale Océan Indien LICE-OI, Université de La Réunion, 97400 Saint-Denis, France.",France,Université de La Réunion
20,,D,Vagner,"Service de Médecine Interne, CHU de La Réunion, 97400 Saint-Denis, France.",France,Unparsed
21,,L,Raffray,"Service de Médecine Interne, CHU de La Réunion, 97400 Saint-Denis, France.",France,Unparsed
22,,F,Ah-Pine,"Service d'Anatomo-Pathologie, CHU de la Réunion, 97400 Saint Pierre, France.",France,Unparsed
23,,B,Doray,"Service de Génétique, CHU de La Réunion, 97400 Saint-Denis, France.",France,Unparsed
24,,P,Gasque,"Laboratoire d'Immunologie Clinique et Expérimentale Océan Indien LICE-OI, Université de La Réunion, 97400 Saint-Denis, France.",France,Université de La Réunion
25,,O,Karaduta,"Department of Biochemistry and Molecular Biology, UAMS, Little Rock, AR, USA.",USA,Unparsed
26,,G,Glazko,"Department of Biomedical Informatics, UAMS, Little Rock, AR, USA.",USA,Unparsed
27,,Z,Dvanajscak,"Arkana Laboratories, Little Rock, AR, USA.",USA,Unparsed
28,,J,Arthur,"Division of Nephrology, UAMS, Little Rock, AR, USA.",USA,Unparsed
29,,S,Mackintosh,"Proteomics Core Facility, UAMS, Little Rock, AR, USA.",USA,Unparsed
30,,L,Orr,"Department of Biochemistry and Molecular Biology, UAMS, Little Rock, AR, USA.",USA,Unparsed
31,,Y,Rahmatallah,"Proteomics Core Facility, UAMS, Little Rock, AR, USA.",USA,Unparsed
