Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
20081,,LA,Tang,"Department of Comparative Biology & Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",Canada,University of Calgary
20082,,TE,Shutt,"Departments of Medical Genetics and Biochemistry & Molecular Biology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",Canada,University of Calgary
20083,,C,Klein,"Federal Research Institute for Animal Health, Friedrich-Loeffler-Institute, 31535 Neustadt, Germany.",Germany,Federal Research Institute for Animal Health
20084,,J,Biernaskie,"Department of Comparative Biology & Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",Canada,University of Calgary
20085,,I,Dobrinski,"Department of Comparative Biology & Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",Canada,University of Calgary
20086,,S,Sakib,"Department of Comparative Biology and Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20087,,A,Voigt,"Department of Comparative Biology and Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20088,,N,de Lima E Martins Lara,"Department of Comparative Biology and Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20089,,L,Su,"Department of Comparative Biology and Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20090,,M,Ungrin,"Biomedical Engineering Graduate Program, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20091,,D,Rancourt,"Department of Oncology and Medical Genetics, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N2, Canada.",Canada,University of Calgary
20092,,I,Dobrinski,"Department of Comparative Biology and Experimental Medicine, Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 1N4, Canada.",Canada,University of Calgary
20093,,AL,Voigt,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20094,,R,Dardari,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20095,,L,Su,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20096,,NLM,Lara,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20097,,S,Sinha,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20098,,A,Jaffer,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20099,,SK,Munyoki,"Department of Obstetrics, Gynecology and Reproductive Sciences, Magee-Womens Research Institute, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA.",USA,University of Pittsburgh School of Medicine
20100,,W,Alpaugh,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20101,,A,Dufour,"Department of Physiology and Pharmacology, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20102,,J,Biernaskie,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20103,,KE,Orwig,"Department of Obstetrics, Gynecology and Reproductive Sciences, Magee-Womens Research Institute, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA.",USA,University of Pittsburgh School of Medicine
20104,,I,Dobrinski,"Department of Comparative Biology and Experimental Medicine, University of Calgary, Calgary, AB, Canada.",Canada,University of Calgary
20105,,S,Rius-Rocabert,"Centre for Metabolomics and Bioanalysis (CEMBIO), Facultad de Farmacia, Universidad San Pablo-CEU, 28668 Madrid, Spain.",Spain,Universidad San Pablo-CEU
20106,,N,García-Romero,"Faculty of Experimental Sciences, Universidad Francisco de Vitoria, 28223 Madrid, Spain.",Spain,Universidad Francisco de Vitoria
20107,,A,García,"Centre for Metabolomics and Bioanalysis (CEMBIO), Facultad de Farmacia, Universidad San Pablo-CEU, 28668 Madrid, Spain.",Spain,Universidad San Pablo-CEU
20108,,A,Ayuso-Sacido,"Brain Tumor Laboratory, Fundación Vithas, Grupo Hospitales Vithas, 28043 Madrid, Spain.",Spain,Brain Tumor Laboratory
20109,,E,Nistal-Villan,"Facultad de Medicina, Instituto de Medicina Molecular Aplicada (IMMA), Universidad San Pablo-CEU, 28668 Madrid, Spain.",Spain,Universidad San Pablo-CEU
20110,,VR,Herrera Millar,"Department of Biomedical Sciences for Health, University of Milan, Via Mangiagalli 31, 20133 Milan, Italy.",Italy,University of Milan
20111,,B,Canciani,"IRCCS Istituto Ortopedico Galeazzi, Via Riccardo Galeazzi, 4, 20161 Milano, Italy.",Italy,Unparsed
20112,,L,Mangiavini,"IRCCS Istituto Ortopedico Galeazzi, Via Riccardo Galeazzi, 4, 20161 Milano, Italy.",Italy,Unparsed
20113,,JFS,Filipe,"Department of Veterinary Medicine and Animal Sciences (DIVAS), University of Milan, Via dell'Università 6, 26900 Lodi, Italy.",Italy,University of Milan
20114,,L,Aidos,"Department of Biomedical Sciences for Health, University of Milan, Via Mangiagalli 31, 20133 Milan, Italy.",Italy,University of Milan
20115,,M,Pallaoro,"Department of Veterinary Medicine and Animal Sciences (DIVAS), University of Milan, Via dell'Università 6, 26900 Lodi, Italy.",Italy,University of Milan
20116,,GM,Peretti,"IRCCS Istituto Ortopedico Galeazzi, Via Riccardo Galeazzi, 4, 20161 Milano, Italy.",Italy,Unparsed
20117,,P,Pocar,"Department of Veterinary Medicine and Animal Sciences (DIVAS), University of Milan, Via dell'Università 6, 26900 Lodi, Italy.",Italy,University of Milan
20118,,SC,Modina,"Department of Veterinary Medicine and Animal Sciences (DIVAS), University of Milan, Via dell'Università 6, 26900 Lodi, Italy.",Italy,University of Milan
20119,,A,Di Giancamillo,"Department of Biomedical Sciences for Health, University of Milan, Via Mangiagalli 31, 20133 Milan, Italy.",Italy,University of Milan
20120,,B,Sevcikova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20121,,B,Rezuchova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20122,,V,Mazurakova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20123,,D,Homerova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20124,,R,Novakova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20125,,L,Feckova,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20126,,J,Kormanec,"Institute of Molecular Biology, Slovak Academy of Sciences, 845 51 Bratislava, Slovakia.",Slovakia,Institute of Molecular Biology
20127,,E,Tassara,"Department of Earth, Environment and Life Sciences (DISTAV), University of Genova, Via Pastore 3, 16132 Genova, Italy.",Italy,University of Genova
20128,,C,Oliveri,"Department of Earth, Environment and Life Sciences (DISTAV), University of Genova, Via Pastore 3, 16132 Genova, Italy.",Italy,University of Genova
20129,,L,Vezzulli,"Department of Earth, Environment and Life Sciences (DISTAV), University of Genova, Via Pastore 3, 16132 Genova, Italy.",Italy,University of Genova
20130,,C,Cerrano,"Department of Life and Environmental Sciences, Polytechnic University of Marche, 60131 Ancona, Italy.",Italy,Polytechnic University of Marche
20131,,L,Xiao,"Faculty of Naval Medicine, Naval Medical University, Shanghai 200433, China.",China,Naval Medical University
20132,,M,Giovine,"Department of Earth, Environment and Life Sciences (DISTAV), University of Genova, Via Pastore 3, 16132 Genova, Italy.",Italy,University of Genova
20133,,M,Pozzolini,"Department of Earth, Environment and Life Sciences (DISTAV), University of Genova, Via Pastore 3, 16132 Genova, Italy.",Italy,University of Genova
20134,,S,Almedawar,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Center for Regenerative Therapies Dresden (CRTD), Fetscherstraße 105, 01307 Dresden, Germany. Electronic address: seba.almedawar@tu-dresden.de.",Germany,Technische Universität Dresden
20135,,K,Vafia,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Center for Regenerative Therapies Dresden (CRTD), Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20136,,S,Schreiter,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Center for Regenerative Therapies Dresden (CRTD), Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20137,,K,Neumann,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Technology Platform, Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20138,,S,Khattak,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Technology Platform, Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20139,,T,Kurth,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Technology Platform, Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20140,,M,Ader,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Center for Regenerative Therapies Dresden (CRTD), Fetscherstraße 105, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20141,,MO,Karl,"Technische Universität Dresden, Center for Molecular and Cellular Bioengineering (CMCB), Center for Regenerative Therapies Dresden (CRTD), Fetscherstraße 105, 01307 Dresden, Germany; German Center for Neurodegenerative Diseases (DZNE) Dresden, Tatzberg 41, 01307 Dresden, Germany.",Germany,Technische Universität Dresden
20142,,SH,Tsang,"CUMC/Edward S. Harkness Eye Institute, 635 West 165th Street, New York, NY 10032, USA.",USA,CUMC/Edward S. Harkness Eye Institute
20143,,EM,Tanaka,"Research Institute of Molecular Pathology (IMP), Vienna Biocenter (VBC), Campus Vienna Biocenter 1, 1030 Vienna, Austria.",Austria,Research Institute of Molecular Pathology (IMP)
20144,,M,Zorc,"Department of Animal Science, Biotechnical Faculty, University of Ljubljana, Jamnikarjeva 101, 1000 Ljubljana, Slovenia.",Slovenia,University of Ljubljana
20145,,M,Dolinar,"Department of Animal Science, Biotechnical Faculty, University of Ljubljana, Jamnikarjeva 101, 1000 Ljubljana, Slovenia.",Slovenia,University of Ljubljana
20146,,P,Dovč,"Department of Animal Science, Biotechnical Faculty, University of Ljubljana, Jamnikarjeva 101, 1000 Ljubljana, Slovenia.",Slovenia,University of Ljubljana
20147,,M,Pivard,"CIRI, Centre International de Recherche en Infectiologie, Université de Lyon, Inserm, U1111, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR5308, École Normale Supérieure (ENS) de Lyon, Lyon, France.",France,Université de Lyon
20148,,S,Bastien,"CIRI, Centre International de Recherche en Infectiologie, Université de Lyon, Inserm, U1111, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR5308, École Normale Supérieure (ENS) de Lyon, Lyon, France.",France,Université de Lyon
20149,,I,Macavei,"Institut des Sciences Analytiques, Université de Lyon, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR 5280, Villeurbanne, France.",France,Université de Lyon
20150,,N,Mouton,"Institut des Sciences Analytiques, Université de Lyon, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR 5280, Villeurbanne, France.",France,Université de Lyon
20151,,JP,Rasigade,"Centre National de Référence des Staphylocoques, Institut des agents infectieux, Hospices Civils de Lyon, Lyon, France.",France,Institut des agents infectieux
20152,,F,Couzon,"CIRI, Centre International de Recherche en Infectiologie, Université de Lyon, Inserm, U1111, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR5308, École Normale Supérieure (ENS) de Lyon, Lyon, France.",France,Université de Lyon
20153,,B,Youenou,"Centre National de Référence des Staphylocoques, Institut des agents infectieux, Hospices Civils de Lyon, Lyon, France.",France,Institut des agents infectieux
20154,,A,Tristan,"Centre National de Référence des Staphylocoques, Institut des agents infectieux, Hospices Civils de Lyon, Lyon, France.",France,Institut des agents infectieux
20155,,R,Carrière,"Institut des Sciences Analytiques, Université de Lyon, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR 5280, Villeurbanne, France.",France,Université de Lyon
20156,,K,Moreau,"CIRI, Centre International de Recherche en Infectiologie, Université de Lyon, Inserm, U1111, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR5308, École Normale Supérieure (ENS) de Lyon, Lyon, France.",France,Université de Lyon
20157,,J,Lemoine,"Institut des Sciences Analytiques, Université de Lyon, Université Claude Bernard Lyon 1, Centre National de la Recherche Scientifique (CNRS), UMR 5280, Villeurbanne, France.",France,Université de Lyon
20158,,F,Vandenesch,"Centre National de Référence des Staphylocoques, Institut des agents infectieux, Hospices Civils de Lyon, Lyon, France.",France,Institut des agents infectieux
20159,,,Dahlan,"Centre for Innovation in Medical Engineering (CIME), Department of Biomedical Engineering, Faculty of Engineering, Universiti Malaya, Kuala Lumpur 50603, Malaysia.",Malaysia,Universiti Malaya
