Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,W,Wang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
1,,H,Zou,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
2,,N,Chen,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
3,,Y,Tian,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
4,,H,Hao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
5,,Y,Pang,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
6,,X,Zhao,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
7,,H,Zhu,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
8,,D,Yu,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
9,,W,Du,"Embryo Biotechnology and Reproduction Laboratory, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing 100193, China.",China,Institute of Animal Sciences
10,,P,Zhang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
11,,B,Yang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
12,,X,Xu,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
13,,H,Zhang,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
14,,X,Feng,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
15,,H,Hao,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
16,,W,Du,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
17,,H,Zhu,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
18,,S,Li,"Shijiazhuang Tianquan Elite Dairy Ltd., Shijiazhuang 050200, China.",China,Unparsed
19,,W,Yu,"Shijiazhuang Tianquan Elite Dairy Ltd., Shijiazhuang 050200, China.",China,Unparsed
20,,A,Khan,"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
21,,S,Umer,"Department of Theriogenology, University of Agriculture, Faisalabad 38000, Punjab, Pakistan.",Pakistan,University of Agriculture
22,,X,Zhao,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan Western Road, Haidian District, Beijing 100193, China.",China,Institute of Animal Sciences (IAS)
23,,AH,Ahlmann,"Institute of Clinical Research, University of Southern Denmark, J.B. Winsløwsvej 19, 5000 Odense C, Denmark.",Denmark,University of Southern Denmark
24,,S,Fang,"Institute of Clinical Research, University of Southern Denmark, J.B. Winsløwsvej 19, 5000 Odense C, Denmark.",Denmark,University of Southern Denmark
25,,SB,Mortensen,"Department of Clinical Immunology, Odense University Hospital, J. B. Winsløwsvej 4, 5000 Odense C, Denmark.",Denmark,Odense University Hospital
26,,LW,Andersen,"Department of Clinical Immunology, Odense University Hospital, J. B. Winsløwsvej 4, 5000 Odense C, Denmark.",Denmark,Odense University Hospital
27,,PG,Pedersen,"Institute of Clinical Research, University of Southern Denmark, J.B. Winsløwsvej 19, 5000 Odense C, Denmark.",Denmark,University of Southern Denmark
